Player,Team,RAA,Wins,EFscore,Salary,Value
DA Warner,Sunrisers Hyderabad,410,1.4140000000000001,0.22399999999999998,1953130.0,2742662.0
AD Russell,Kolkata Knight Riders,307,1.06,0.242,1328130.0,2200658.0
MS Dhoni,Chennai Super Kings,305,1.053,0.17600000000000002,2343750.0,2189940.0
Imran Tahir,Chennai Super Kings,295,1.018,0.2,156250.0,2136352.0
KL Rahul,Kings XI Punjab,288,0.9940000000000001,0.217,1718750.0,2099606.0
K Rabada,Delhi Capitals,268,0.925,0.196,656250.0,1993961.0
KK Ahmed,Sunrisers Hyderabad,253,0.873,0.166,468750.0,1914345.0
JM Bairstow,Sunrisers Hyderabad,223,0.77,0.132,314300.0,1756643.0
AB de Villiers,Royal Challengers Bangalore,192,0.664,0.139,1718750.0,1594348.0
HH Pandya,Mumbai Indians,165,0.568,0.204,1718750.0,1447364.0
S Gopal,Rajasthan Royals,161,0.555,0.166,31250.0,1427460.0
CH Gayle,Kings XI Punjab,157,0.542,0.133,312500.0,1407556.0
Q de Kock,Mumbai Indians,141,0.486,0.11699999999999999,437500.0,1321815.0
RR Pant,Delhi Capitals,127,0.44,0.114,2343750.0,1251385.0
JJ Bumrah,Mumbai Indians,127,0.43799999999999994,0.139,1093750.0,1248323.0
RA Jadeja,Chennai Super Kings,126,0.433,0.14300000000000002,1093750.0,1240667.0
MK Pandey,Sunrisers Hyderabad,122,0.42100000000000004,0.11199999999999999,1718750.0,1222294.0
SV Samson,Rajasthan Royals,120,0.415,0.086,1250000.0,1213108.0
JC Buttler,Rajasthan Royals,117,0.40299999999999997,0.094,687500.0,1194735.0
F du Plessis,Chennai Super Kings,114,0.392,0.10099999999999999,250000.0,1177893.0
Harbhajan Singh,Chennai Super Kings,112,0.386,0.129,312500.0,1168706.0
S Dhawan,Delhi Capitals,105,0.36200000000000004,0.11900000000000001,812500.0,1131960.0
DL Chahar,Chennai Super Kings,98,0.337,0.162,125000.0,1093683.0
AS Joseph,Mumbai Indians,97,0.336,0.063,,1092152.0
SPD Smith,Rajasthan Royals,97,0.335,0.08,1953130.0,1090621.0
SA Yadav,Mumbai Indians,91,0.315,0.111,500000.0,1059999.0
V Kohli,Royal Challengers Bangalore,76,0.261,0.094,2656250.0,977321.0
YS Chahal,Royal Challengers Bangalore,76,0.261,0.134,937500.0,977321.0
N Rana,Kolkata Knight Riders,75,0.258,0.11199999999999999,531250.0,972727.0
Shubman Gill,Kolkata Knight Riders,74,0.256,0.08,281250.0,969665.0
