Player,Team,RAA,Wins,EFscore,Salary,Value
SE Marsh,Kings XI Punjab,377,1.355,0.231,,1270355.0
SR Watson,Rajasthan Royals,347,1.25,0.297,125000.0,1209660.0
Sohail Tanvir,Rajasthan Royals,294,1.0590000000000002,0.19399999999999998,,1099252.0
G Gambhir,Delhi Daredevils,216,0.7759999999999999,0.16,725000.0,935664.0
GC Smith,Rajasthan Royals,202,0.725,0.139,250000.0,906183.0
MF Maharoof,Delhi Daredevils,180,0.6459999999999999,0.168,225000.0,860517.0
SK Raina,Chennai Super Kings,178,0.6409999999999999,0.135,650000.0,857627.0
ST Jayasuriya,Mumbai Indians,170,0.611,0.17300000000000001,975000.0,840285.0
JA Morkel,Chennai Super Kings,158,0.5670000000000001,0.191,675000.0,814851.0
YK Pathan,Rajasthan Royals,153,0.55,0.172,475000.0,805024.0
MS Dhoni,Chennai Super Kings,148,0.532,0.121,1500000.0,794619.0
RG Sharma,Deccan Chargers,142,0.509,0.125,750000.0,781324.0
Umar Gul,Kolkata Knight Riders,137,0.493,0.12,150000.0,772075.0
ML Hayden,Chennai Super Kings,136,0.489,0.08,375000.0,769763.0
LA Pomersbach,Kings XI Punjab,125,0.451,0.086,,747797.0
CRD Fernando,Mumbai Indians,116,0.41700000000000004,0.098,150000.0,728144.0
A Mishra,Delhi Daredevils,115,0.413,0.092,,725831.0
MEK Hussey,Chennai Super Kings,115,0.413,0.065,250000.0,725831.0
BB McCullum,Kolkata Knight Riders,109,0.39299999999999996,0.062,700000.0,714270.0
S Dhawan,Delhi Daredevils,101,0.36200000000000004,0.1,,696351.0
SA Asnodkar,Rajasthan Royals,100,0.36,0.09699999999999999,,695195.0
SM Katich,Kings XI Punjab,96,0.345,0.062,200000.0,686524.0
AC Gilchrist,Deccan Chargers,92,0.332,0.12300000000000001,700000.0,679009.0
DJ Bravo,Mumbai Indians,90,0.324,0.136,,674385.0
RV Uthappa,Mumbai Indians,90,0.322,0.095,800000.0,673229.0
SC Ganguly,Kolkata Knight Riders,86,0.309,0.152,,665714.0
KC Sangakkara,Kings XI Punjab,81,0.29,0.09,700000.0,654731.0
DS Kulkarni,Mumbai Indians,78,0.27899999999999997,0.08900000000000001,,648373.0
SK Warne,Rajasthan Royals,74,0.266,0.147,450000.0,640858.0
S Sreesanth,Kings XI Punjab,70,0.251,0.133,625000.0,632187.0
MV Boucher,Royal Challengers Bangalore,65,0.235,0.069,450000.0,622938.0
V Sehwag,Delhi Daredevils,63,0.22699999999999998,0.124,,618314.0
IK Pathan,Kings XI Punjab,61,0.22,0.14800000000000002,925000.0,614268.0
PP Chawla,Kings XI Punjab,61,0.21899999999999997,0.134,400000.0,613689.0
Shoaib Akhtar,Kolkata Knight Riders,58,0.21,0.051,425000.0,608487.0
SR Tendulkar,Mumbai Indians,55,0.198,0.068,,601550.0
LR Shukla,Kolkata Knight Riders,50,0.18,0.091,,591145.0
NK Patel,Rajasthan Royals,50,0.179,0.045,,590567.0
